"filename", "language", "TypeScript", "CSS", "Vue", "JSON with Comments", "JSON", "XML", "Markdown", "Django HTML", "comment", "blank", "total"
"/Users/mingmatenzingsherpa/Desktop/cfw/src/views/MapView.vue", "Vue", 0, 0, 10, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/mingmatenzingsherpa/Desktop/cfw/tsconfig.app.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"/Users/mingmatenzingsherpa/Desktop/cfw/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"/Users/mingmatenzingsherpa/Desktop/cfw/tsconfig.node.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"/Users/mingmatenzingsherpa/Desktop/cfw/tsconfig.vitest.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/mingmatenzingsherpa/Desktop/cfw/types.ts", "TypeScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 13, 125
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/chart_utils.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 2, 1, 49
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/cheapest_fuel_station.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/fuel_brands.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 1, 153
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/fuel_locations.ts", "TypeScript", 6884, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6886
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/fuel_station_with_images.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/map_props.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/map_styles.ts", "TypeScript", 533, 0, 0, 0, 0, 0, 0, 0, 0, 3, 536
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/price_prediction.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 5, 10, 37
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/region_fuel_average.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/theme_type.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/mingmatenzingsherpa/Desktop/cfw/utils/xml_fuel_data_parser.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/mingmatenzingsherpa/Desktop/cfw/vercel.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/mingmatenzingsherpa/Desktop/cfw/vite.config.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"/Users/mingmatenzingsherpa/Desktop/cfw/vitest.config.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 7989, 127, 1333, 30, 9945, 2, 40, 143, 167, 333, 20109
